"","index","airport","city","country","IATA","ICAO","latitude","longitude","altitude","timezone","DST","tz_database","type","source"
"6244",8750,"Peenemünde Airport","Peenemunde","Germany","PEF","EDCP",54.1577796936,13.7744436264,7,"1","E","Europe/Berlin","airport","OurAirports"
"6298",8855,"Neustadt-Glewe Airport","Neustadt-Glewe","Germany","\N","EDAN",53.3597221374512,11.6152782440186,115,"1","E","Europe/Berlin","airport","OurAirports"
"6300",8860,"Tutow Airport","Wildenrath","Germany","\N","EDUW",53.9219436645508,13.2188892364502,26,"1","E","Europe/Berlin","airport","OurAirports"
"6301",8861,"Bremgarten Airport","Bremgarten","Germany","\N","EDTG",47.9027786255,7.6177778244,696,"1","E","Europe/Berlin","airport","OurAirports"
"6302",8862,"Bitburg Airport","Birburg","Germany","BBJ","EDRB",49.945278,6.565,1220,"1","U","Europe/Berlin","airport","OurAirports"
"6380",9079,"Thalmässing-Waizenhofen Airport","Thalmaessing","Germany","\N","EDPW",49.0641670227051,11.2091665267944,1893,"1","E","Europe/Berlin","airport","OurAirports"
"6388",9100,"Ansbach-Petersdorf Airport","Ansbach","Germany","\N","EDQF",49.361111,10.669444,1371,"1","E","Europe/Berlin","airport","OurAirports"
"6403",9137,"Oberschleißheim Airfield","Schleissheim","Germany","\N","EDNX",48.2394447327,11.5613889694,1594,"1","E","Europe/Berlin","airport","OurAirports"
"6407",9141,"Verden-Scharnhorst Airport","Verden","Germany","\N","EDWV",52.9652786254883,9.28277778625488,144,"1","E","Europe/Berlin","airport","OurAirports"
"6408",9147,"Nittenau-Bruck Airport","Nittenau","Germany","\N","EDNM",49.2224998474121,12.296667098999,1161,"1","E","Europe/Berlin","airport","OurAirports"
"6439",9232,"Neumünster Airport","Neumuenster","Germany","EUM","EDHN",54.0794448852539,9.9413890838623,72,"1","E","Europe/Berlin","airport","OurAirports"
"6474",9380,"Pellworm Field","Pellworm","Germany","\N","EDHP",54.5363883972,8.68000030518,3,"1","E","Europe/Berlin","airport","OurAirports"
"6689",10723,"Elsenthal Grafe Airport","Elsenthal","Germany","\N","EDNF",48.8224983215332,13.3675003051758,1417,"1","E","\N","airport","OurAirports"
"6699",10776,"Meschede-Schüren Airport","Meschede","Germany","\N","EDKM",51.3027763366699,8.23916721343994,1434,"1","E","\N","airport","OurAirports"
"6725",11032,"Stade Airport","Stade","Germany","\N","EDHS",53.5611114501953,9.49916744232178,62,"1","E","\N","airport","OurAirports"
"6772",11132,"Gießen-Lützellinden Airport","Giessen","Germany","\N","EDFL",50.543888092041,8.59027767181396,755,"1","E","\N","airport","OurAirports"
"6862",11718,"Gelnhausen Airport","Gelnhausen","Germany","\N","EDFG",50.1972236633301,9.17000007629395,446,"1","E","\N","airport","OurAirports"
"6864",11720,"Lauterbach Airport","Lauterbach-Wernges","Germany","\N","EDFT",50.6833343505859,9.41083335876465,1211,"1","E","\N","airport","OurAirports"
"6865",11721,"Aschaffenburg Airport","Aschaffenburg","Germany","\N","EDFC",49.9388885498047,9.06388854980469,410,"1","E","\N","airport","OurAirports"
"6867",11735,"Reichelsheim Airport","Reichelsheim","Germany","\N","EDFB",50.3358345031738,8.87805557250977,397,"1","E","\N","airport","OurAirports"
"6868",11737,"Marburg-Schönstadt Airport","Schoenstadt","Germany","\N","EDFN",50.8744430541992,8.8149995803833,833,"1","E","\N","airport","OurAirports"
"6869",11738,"Lauenbrück Airport","Lauenbrueck","Germany","\N","EDHU",53.2075004577637,9.57333278656006,98,"1","E","\N","airport","OurAirports"
"6870",11739,"Hüttenbusch Airport","Huettenbusch","Germany","\N","EDXU",53.2866668701172,8.94722175598145,10,"1","E","\N","airport","OurAirports"
"6914",11785,"Neubrandenburg Airport","Neubrandenburg","Germany","FNB","EDBN",53.6022,13.306,228,"\N","\N","\N","airport","OurAirports"
"6915",11786,"Airport Bamberg-Breitenau","Bamberg","Germany","\N","EDQA",49.920403,10.914233,811,"\N","\N","\N","airport","OurAirports"
"6916",11787,"Zerbst Airport","Zerbst/Anhalt","Germany","\N","EDUZ",52.0008316040039,12.1486110687256,289,"\N","\N","\N","airport","OurAirports"
